abind	1.4-5
RBGL	1.50.0
RColorBrewer	1.1-2
Rcpp	0.12.8
RcppArmadillo	0.7.600.1.0
RCurl	1.95-4.8
readxl	0.1.1
recount	1.0.6
regioneR	1.6.0
registry	0.3
rentrez	1.0.4
reshape2	1.4.2
Rfit	0.23.0
rgl	0.96.0
Rgraphviz	2.18.0
rjson	0.2.15
rmarkdown	1.3
RMySQL	0.10.9
rngtools	1.2.4
roar	1.10.0
robustbase	0.92-7
ROC	1.50.0
ROCR	1.0-7
roxygen2	5.0.1
rprojroot	1.1
Rsamtools	1.26.1
RSQLite	1.1-1
rstudioapi	0.6
rtracklayer	1.34.1
Rttf2pt1	1.3.4
RUVSeq	1.8.0
rversions	1.0.3
rvest	0.3.2
rvg	0.1.1
S4Vectors	0.12.1
samr	2.0
sandwich	2.3-4
sas7bdat	0.5
scales	0.4.1
segmented	0.5-1.4
segmentSeq	2.8.0
selectr	0.3-1
sendmailR	1.2-1
seqbias	1.22.0
seqinr	3.3-3
seqLogo	1.40.0
seriation	1.2-1
shiny	0.14.2
ShortRead	1.32.0
siggenes	1.48.0
signal	0.7-6
sigPathway	1.42.0
SimSeq	1.4.0
slam	0.1-40
snow	0.4-2
sourcetools	0.1.5
sp	1.2-3
SparseM	1.74
spatstat	1.47-0
SPIA	2.26.0
sqldf	0.4-10
sQTLseekeR	2.1
SRAdb	1.32.0
sSeq	1.12.0
stabledist	0.7-1
statmod	1.4.27
stringi	1.1.2
stringr	1.1.0
subSeq	1.4.0
SummarizedExperiment	1.4.0
sva	3.22.0
systemPipeR	1.8.1
TeachingDemos	2.10
tensor	1.5
testthat	1.0.2
TH.data	1.0-7
tibble	1.2
tidyr	0.6.0
timeDate	3012.100
timeSeries	3022.101.2
timsac	1.3.5
tkrplot	0.0-23
tkWidgets	1.52.0
tm	0.6-2
topGO	2.26.0
translations	3.3.1
trimcluster	0.1-2
TSP	1.1-4
TxDb.Hsapiens.UCSC.hg19.knownGene	3.2.2
TxDb.Mmusculus.UCSC.mm10.knownGene	3.4.0
V8	1.2
VariantAnnotation	1.20.2
vegan	2.4-1
venn	1.2
VennDiagram	1.6.17
viridis	0.3.4
whisker	0.3-2
widgetTools	1.52.0
withr	1.0.2
XBSeq	1.4.0
XML	3.98-1.5
xml2	1.0.0
xtable	1.8-2
XVector	0.14.0
yaml	2.1.14
zFPKM	0.0.0.9000
zlibbioc	1.20.0
zoo	1.7-14
translations	3.3.2
